■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2023-02-17,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2022~2022   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,"전국
스크린수","전국
매출액","전국
관객수","서울
매출액","서울
관객수",장르,등급,영화구분
1,범죄도시2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022-05-18,개봉영화,장편,한국,"2,498","131,293,353,478","12,692,959","29,072,759,869","2,755,760",범죄,15세이상관람가,일반영화
2,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,개봉영화,장편,미국,"1,975","87,855,360,975","8,177,446","25,925,045,991","2,309,600",액션,12세이상관람가,일반영화
3,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,"2,809","90,295,968,802","7,313,220","22,182,474,983","1,713,871",액션,12세이상관람가,일반영화
4,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27,개봉영화,장편,한국,"2,223","73,700,628,377","7,264,934","15,974,849,913","1,513,672",액션,12세이상관람가,일반영화
5,공조2: 인터내셔날,이석훈,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-09-07,개봉영화,장편,한국,"2,389","70,884,583,586","6,979,319","15,028,120,901","1,444,987",액션,15세이상관람가,일반영화
6,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04,개봉영화,장편,미국,"2,691","62,648,728,870","5,884,587","18,021,250,750","1,610,656",액션,12세이상관람가,일반영화
7,헌트,이정재,"(주)아티스트스튜디오,(주)사나이픽처스",,플러스엠 엔터테인먼트,2022-08-10,개봉영화,장편,한국,"1,625","44,573,032,153","4,350,029","10,985,286,495","1,052,205",액션,15세이상관람가,일반영화
8,올빼미,안태진,"(주)씨제스엔터테인먼트,(주)영화사 담담",,(주)넥스트엔터테인먼트월드(NEW),2022-11-23,개봉영화,장편,한국,"1,541","31,768,660,550","3,222,738","8,534,430,372","845,469",스릴러,15세이상관람가,일반영화
9,쥬라기 월드: 도미니언,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-06-01,개봉영화,장편,미국,"2,218","29,226,463,310","2,836,786","6,938,382,730","639,474",액션,12세이상관람가,일반영화
10,마녀(魔女) Part2. The Other One,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴,(주)페퍼민트앤컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2022-06-15,개봉영화,장편,한국,"1,796","28,920,265,670","2,806,254","6,020,427,150","570,910",액션,15세이상관람가,일반영화
11,토르: 러브 앤 썬더,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-07-06,개봉영화,장편,미국,"2,143","29,494,473,721","2,715,682","8,443,171,772","729,804",액션,12세이상관람가,일반영화
12,미니언즈2,카일 발다,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-07-20,개봉영화,장편,미국,"1,394","21,999,556,172","2,269,024","4,467,034,398","436,111",애니메이션,전체관람가,일반영화
13,블랙 팬서: 와칸다 포에버,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-11-09,개봉영화,장편,미국,"2,571","22,203,102,405","2,105,644","6,358,424,828","567,781",액션,12세이상관람가,일반영화
14,비상선언,한재림,"(주)매그넘나인,(주)씨제스엔터테인먼트,씨네주 유한회사",,(주)쇼박스,2022-08-03,개봉영화,장편,한국,"1,734","20,778,871,412","2,042,999","4,560,827,837","432,547",드라마,12세이상관람가,일반영화
15,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15,개봉영화,장편,미국,"2,948","19,496,498,450","1,991,050","5,849,126,040","572,004",액션,12세이상관람가,일반영화
16,육사오(6/45),박규태,"(주)티피에스컴퍼니,(주)싸이더스",,"(주)홈초이스,(주)싸이더스",2022-08-24,개봉영화,장편,한국,"1,159","19,791,166,880","1,980,769","3,932,407,651","385,835",코미디,12세이상관람가,일반영화
17,헤어질 결심,박찬욱,(주)모호필름,,(주)씨제이이엔엠,2022-06-29,개봉영화,장편,한국,"1,374","19,642,291,589","1,893,954","7,993,073,069","759,929",미스터리,15세이상관람가,일반영화
18,외계+인 1부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2022-07-20,개봉영화,장편,한국,"1,959","15,987,826,548","1,538,504","3,879,858,553","355,262",액션,12세이상관람가,일반영화
19,영웅,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-12-21,개봉영화,장편,한국,"1,314","14,534,313,323","1,487,686","3,506,437,206","349,961",드라마,12세이상관람가,일반영화
20,해적: 도깨비 깃발,김정훈,"(주)어뉴,오스카10스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-26,개봉영화,장편,한국,"1,708","12,523,963,990","1,339,242","2,843,506,630","319,433",어드벤처,12세이상관람가,일반영화
21,브로커,고레에다 히로카즈,영화사 집,,(주)씨제이이엔엠,2022-06-08,개봉영화,장편,한국,"1,594","12,566,618,030","1,258,891","3,813,389,090","374,115",드라마,12세이상관람가,일반영화
22,신비한 동물들과 덤블도어의 비밀,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-04-13,개봉영화,장편,미국,"2,207","12,305,198,580","1,195,441","4,102,779,180","381,672",어드벤처,12세이상관람가,일반영화
23,인생은 아름다워,최국희,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-28,개봉영화,장편,한국,"1,285","10,898,038,019","1,171,602","2,831,607,046","298,657",뮤지컬,12세이상관람가,일반영화
24,데시벨,황인호,"이스트드림시노펙스(주),(주)기억속의매미",,(주)마인드마크,2022-11-16,개봉영화,장편,한국,"1,152","8,846,183,146","900,655","1,860,714,490","183,449",액션,12세이상관람가,일반영화
25,정직한 후보2,장유정,"(주)수필름,(주)홍필름",,(주)넥스트엔터테인먼트월드(NEW),2022-09-28,개봉영화,장편,한국,"1,318","8,446,139,162","899,684","1,874,805,158","196,659",코미디,12세이상관람가,일반영화
26,더 배트맨,맷 리브스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-03-01,개봉영화,장편,미국,"2,370","9,252,877,980","897,836","3,468,610,850","321,562",액션,15세이상관람가,일반영화
27,씽2게더,가스 제닝스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-01-05,개봉영화,장편,미국,"1,251","8,186,997,050","883,973","2,125,890,820","221,209",애니메이션,전체관람가,일반영화
28,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,타카하시 와타루,,(주)씨제이이엔엠,(주)씨제이이엔엠,2022-09-28,개봉영화,장편,일본,873,"8,363,867,924","836,665","1,475,548,813","140,884",애니메이션,전체관람가,일반영화
29,블랙 아담,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-10-19,개봉영화,장편,미국,"1,524","8,040,723,608","779,485","2,247,619,017","205,681",액션,12세이상관람가,일반영화
30,킹메이커,변성현,(주)씨앗필름,,플러스엠 엔터테인먼트,2022-01-26,개봉영화,장편,한국,"1,185","7,313,720,610","775,583","2,017,189,830","213,017",드라마,15세이상관람가,일반영화
31,자백,윤종석,리얼라이즈픽쳐스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-26,개봉영화,장편,한국,"1,115","7,352,587,230","738,122","1,851,324,308","181,290",범죄,15세이상관람가,일반영화
32,언차티드,루벤 플레셔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-02-16,개봉영화,장편,미국,"1,536","7,116,304,100","730,924","2,044,063,780","203,638",액션,12세이상관람가,일반영화
33,경관의 피,이규만,리양필름(주),,(주)에이스메이커무비웍스,2022-01-05,개봉영화,장편,한국,"1,187","6,687,389,520","679,503","1,585,404,290","158,145",범죄,15세이상관람가,일반영화
34,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",미키 타카히로,,(주)미디어캐슬,"(주)바이포엠스튜디오,홀리가든",2022-11-30,개봉영화,장편,일본,258,"6,750,134,802","662,395","1,701,690,231","163,393",멜로/로맨스,12세이상관람가,독립/예술영화
35,극장판 주술회전 0,박성후,,대원미디어(주),(주)대교 미디어콘텐츠사업본부,2022-02-17,개봉영화,장편,일본,836,"6,602,758,252","662,099","2,005,582,052","190,114",애니메이션,15세이상관람가,일반영화
36,압꾸정,임진순,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,(주)쇼박스,2022-11-30,개봉영화,장편,한국,"1,229","5,722,751,661","608,197","1,223,429,718","127,818",코미디,12세이상관람가,일반영화
37,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,유야마 쿠니히코,,(주)포켓몬코리아,(주)넥스트엔터테인먼트월드(NEW),2022-06-01,개봉영화,장편,일본,809,"5,477,045,710","581,216","815,001,560","83,282",애니메이션,전체관람가,일반영화
38,이상한 나라의 수학자,박동훈,(주)조이래빗,,(주)쇼박스,2022-03-09,개봉영화,장편,한국,"1,357","4,996,234,520","528,900","1,352,417,450","142,199",드라마,12세이상관람가,일반영화
39,명탐정 코난: 할로윈의 신부,미츠나카 스스무,,(주)씨제이이엔엠,(주)씨제이이엔엠,2022-07-13,개봉영화,장편,일본,758,"5,119,750,724","490,868","1,292,448,496","117,702",애니메이션,12세이상관람가,일반영화
40,동감,서은영,(주)고고스튜디오,,씨제이 씨지브이(CJ CGV)(주),2022-11-16,개봉영화,장편,한국,"1,013","4,753,528,700","489,898","1,220,704,123","123,537",멜로/로맨스,12세이상관람가,일반영화
41,모비우스,다니엘 에스피노사,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-03-30,개봉영화,장편,미국,"1,696","4,662,620,390","474,560","1,401,807,670","137,560",액션,15세이상관람가,일반영화
42,늑대사냥,김홍선,"(주)콘텐츠지,(주)영화사채움",,"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",2022-09-21,개봉영화,장편,한국,"1,226","4,769,650,393","458,720","1,122,268,787","108,341",액션,청소년관람불가,일반영화
43,뽀로로 극장판 드래곤캐슬 대모험,"강승훈,윤제완",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2022-07-28,개봉영화,장편,한국,748,"4,189,380,075","447,357","616,513,176","62,640",애니메이션,전체관람가,일반영화
44,특송,박대민,(주)엠픽처스,,(주)넥스트엔터테인먼트월드(NEW),2022-01-12,개봉영화,장편,한국,996,"4,172,193,200","443,177","941,899,070","104,032",범죄,15세이상관람가,일반영화
